"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2011","05","05000","Arkansas","2,856,679","550,079","538,191","561,967","538,191 to 561,967","19.3","18.9","19.7","18.9 to 19.7","698,684","194,242","187,760","200,724","187,760 to 200,724","27.8","26.9","28.7","26.9 to 28.7","502,600","128,194","122,698","133,690","122,698 to 133,690","25.5","24.4","26.6","24.4 to 26.6","192,431","62,668","59,124","66,212","59,124 to 66,212","32.6","30.8","34.4","30.8 to 34.4","$38,889","$38,167","$39,611","$38,167 to $39,611"
"2010","05","05000","Arkansas","2,839,786","529,710","518,451","540,969","518,451 to 540,969","18.7","18.3","19.1","18.3 to 19.1","698,899","190,538","184,070","197,006","184,070 to 197,006","27.3","26.4","28.2","26.4 to 28.2","500,901","124,638","118,946","130,330","118,946 to 130,330","24.9","23.8","26.0","23.8 to 26.0","193,428","61,985","58,970","65,000","58,970 to 65,000","32.0","30.4","33.6","30.4 to 33.6","$38,413","$37,806","$39,020","$37,806 to $39,020"
"2009","05","05000","Arkansas","2,806,037","519,026","506,813","531,240","506,813 to 531,240","18.5","18.1","18.9","18.1 to 18.9","697,712","185,268","178,772","191,764","178,772 to 191,764","26.6","25.6","27.5","25.6 to 27.5","494,356","120,867","115,349","126,385","115,349 to 126,385","24.4","23.3","25.6","23.3 to 25.6","200,462","61,707","58,339","65,076","58,339 to 65,076","30.8","29.1","32.5","29.1 to 32.5","$37,888","$37,289","$38,487","$37,289 to $38,487"
"2008","05","05000","Arkansas","2,774,138","479,140","467,571","490,708","467,571 to 490,708","17.3","16.9","17.7","16.9 to 17.7","690,520","170,833","164,665","177,000","164,665 to 177,000","24.7","23.8","25.6","23.8 to 25.6","489,393","109,650","104,263","115,037","104,263 to 115,037","22.4","21.3","23.5","21.3 to 23.5","196,625","58,087","55,061","61,114","55,061 to 61,114","29.5","28.0","31.1","28.0 to 31.1","$38,820","$38,139","$39,502","$38,139 to $39,502"
"2007","05","05000","Arkansas","2,753,934","483,510","473,442","493,579","473,442 to 493,579","17.6","17.2","17.9","17.2 to 17.9","688,511","173,939","168,262","179,616","168,262 to 179,616","25.3","24.4","26.1","24.4 to 26.1","489,132","113,370","108,283","118,457","108,283 to 118,457","23.2","22.1","24.2","22.1 to 24.2","195,380","56,804","54,263","59,344","54,263 to 59,344","29.1","27.8","30.4","27.8 to 30.4","$38,239","$37,548","$38,929","$37,548 to $38,929"
"2006","05","05000","Arkansas","2,729,099","471,161","461,380","480,941","461,380 to 480,941","17.3","16.9","17.6","16.9 to 17.6","676,779","166,630","161,218","172,041","161,218 to 172,041","24.6","23.8","25.4","23.8 to 25.4","482,566","106,787","101,922","111,652","101,922 to 111,652","22.1","21.1","23.1","21.1 to 23.1","188,120","55,174","52,655","57,693","52,655 to 57,693","29.3","28.0","30.7","28.0 to 30.7","$36,627","$36,155","$37,100","$36,155 to $37,100"
"2005","05","05000","Arkansas","2,690,032","461,758","451,804","471,711","451,804 to 471,711","17.2","16.8","17.5","16.8 to 17.5","660,819","165,059","159,639","170,479","159,639 to 170,479","25.0","24.2","25.8","24.2 to 25.8","472,090","108,273","103,719","112,827","103,719 to 112,827","22.9","22.0","23.9","22.0 to 23.9","184,021","52,542","49,764","55,320","49,764 to 55,320","28.6","27.0","30.1","27.0 to 30.1","$35,041","$34,476","$35,606","$34,476 to $35,606"
"2004","05","05000","Arkansas","2,720,895","424,576","397,276","451,876","397,276 to 451,876","15.6","14.6","16.6","14.6 to 16.6","674,449","153,124","140,227","166,022","140,227 to 166,022","22.7","20.8","24.6","20.8 to 24.6","477,311","95,393","84,071","106,715","84,071 to 106,715","20.0","17.6","22.4","17.6 to 22.4","184,963","51,948","45,964","57,933","45,964 to 57,933","28.1","24.9","31.3","24.9 to 31.3","$35,295","$33,830","$36,759","$33,830 to $36,759"
"2003","05","05000","Arkansas","2,693,460","432,240","410,707","453,774","410,707 to 453,774","16.0","15.2","16.8","15.2 to 16.8","675,286","159,182","148,470","169,893","148,470 to 169,893","23.6","22.0","25.2","22.0 to 25.2","483,973","105,100","96,920","113,280","96,920 to 113,280","21.7","20.0","23.4","20.0 to 23.4","181,812","49,523","42,786","56,260","42,786 to 56,260","27.2","23.5","30.9","23.5 to 30.9","$33,445","$31,994","$34,895","$31,994 to $34,895"
"2002","05","05000","Arkansas","2,672,831","435,986","413,109","458,863","413,109 to 458,863","16.3","15.5","17.2","15.5 to 17.2","682,146","159,180","147,164","171,196","147,164 to 171,196","23.3","21.6","25.1","21.6 to 25.1","492,610","100,511","90,447","110,575","90,447 to 110,575","20.4","18.4","22.4","18.4 to 22.4","184,903","54,361","47,627","61,094","47,627 to 61,094","29.4","25.8","33.0","25.8 to 33.0","$32,819","$31,135","$34,502","$31,135 to $34,502"
"2001","05","05000","Arkansas","2,638,565","419,048","398,520","439,576","398,520 to 439,576","15.9","15.1","16.7","15.1 to 16.7","672,530","159,142","145,554","172,730","145,554 to 172,730","23.7","21.6","25.7","21.6 to 25.7","480,967","101,607","89,693","113,521","89,693 to 113,521","21.1","18.6","23.6","18.6 to 23.6","180,426","50,750","45,459","56,041","45,459 to 56,041","28.1","25.2","31.1","25.2 to 31.1","$32,864","$31,396","$34,331","$31,396 to $34,331"
"2000","05","05000","Arkansas","2,634,478","394,960","374,787","415,134","374,787 to 415,134","15.0","14.2","15.8","14.2 to 15.8","676,862","147,308","136,398","158,218","136,398 to 158,218","21.8","20.2","23.4","20.2 to 23.4","492,453","93,501","84,161","102,841","84,161 to 102,841","19.0","17.1","20.9","17.1 to 20.9","182,876","48,366","42,701","54,030","42,701 to 54,030","26.4","23.3","29.5","23.3 to 29.5","$31,496","$29,698","$33,295","$29,698 to $33,295"
"2012","06","06000","California","37,303,312","6,323,433","6,274,914","6,371,952","6,274,914 to 6,371,952","17.0","16.9","17.1","16.9 to 17.1","9,103,796","2,164,589","2,135,262","2,193,916","2,135,262 to 2,193,916","23.8","23.5","24.1","23.5 to 24.1","6,571,820","1,499,768","1,474,007","1,525,529","1,474,007 to 1,525,529","22.8","22.4","23.2","22.4 to 23.2","2,490,209","625,906","612,806","639,006","612,806 to 639,006","25.1","24.6","25.6","24.6 to 25.6","$58,322","$57,972","$58,672","$57,972 to $58,672"
"2011","06","06000","California","36,941,941","6,121,726","6,065,691","6,177,761","6,065,691 to 6,177,761","16.6","16.4","16.8","16.4 to 16.8","9,128,102","2,085,226","2,055,547","2,114,905","2,055,547 to 2,114,905","22.8","22.5","23.1","22.5 to 23.1","6,598,903","1,431,148","1,404,413","1,457,883","1,404,413 to 1,457,883","21.7","21.3","22.1","21.3 to 22.1","2,486,458","614,837","601,173","628,501","601,173 to 628,501","24.7","24.2","25.2","24.2 to 25.2","$57,275","$56,997","$57,553","$56,997 to $57,553"
"2010","06","06000","California","36,593,422","5,785,036","5,732,381","5,837,691","5,732,381 to 5,837,691","15.8","15.7","15.9","15.7 to 15.9","9,156,662","2,012,723","1,979,594","2,045,852","1,979,594 to 2,045,852","22.0","21.6","22.4","21.6 to 22.4","6,634,166","1,382,859","1,353,694","1,412,024","1,353,694 to 1,412,024","20.8","20.4","21.2","20.4 to 21.2","2,476,334","588,090","573,739","602,441","573,739 to 602,441","23.7","23.1","24.3","23.1 to 24.3","$57,664","$57,316","$58,012","$57,316 to $58,012"
"2009","06","06000","California","36,202,910","5,132,640","5,084,687","5,180,592","5,084,687 to 5,180,592","14.2","14.0","14.3","14.0 to 14.3","9,277,571","1,846,994","1,818,538","1,875,449","1,818,538 to 1,875,449","19.9","19.6","20.2","19.6 to 20.2","6,542,172","1,214,400","1,189,918","1,238,882","1,189,918 to 1,238,882","18.6","18.2","18.9","18.2 to 18.9","2,694,275","594,576","580,849","608,303","580,849 to 608,303","22.1","21.6","22.6","21.6 to 22.6","$58,925","$58,654","$59,196","$58,654 to $59,196"
"2008","06","06000","California","35,984,453","4,781,201","4,725,709","4,836,693","4,725,709 to 4,836,693","13.3","13.1","13.4","13.1 to 13.4","9,218,658","1,702,065","1,671,766","1,732,364","1,671,766 to 1,732,364","18.5","18.1","18.8","18.1 to 18.8","6,527,631","1,128,080","1,101,757","1,154,403","1,101,757 to 1,154,403","17.3","16.9","17.7","16.9 to 17.7","2,647,579","534,254","518,237","550,270","518,237 to 550,270","20.2","19.6","20.8","19.6 to 20.8","$61,017","$60,782","$61,251","$60,782 to $61,251"
"2007","06","06000","California","35,768,034","4,445,392","4,399,379","4,491,405","4,399,379 to 4,491,405","12.4","12.3","12.6","12.3 to 12.6","9,222,770","1,598,466","1,569,345","1,627,586","1,569,345 to 1,627,586","17.3","17.0","17.6","17.0 to 17.6","6,566,539","1,062,605","1,037,570","1,087,640","1,037,570 to 1,087,640","16.2","15.8","16.6","15.8 to 16.6","2,605,554","490,575","476,220","504,931","476,220 to 504,931","18.8","18.3","19.4","18.3 to 19.4","$59,928","$59,636","$60,220","$59,636 to $60,220"
"2006","06","06000","California","35,675,333","4,686,706","4,635,529","4,737,883","4,635,529 to 4,737,883","13.1","13.0","13.3","13.0 to 13.3","9,378,637","1,693,631","1,662,924","1,724,337","1,662,924 to 1,724,337","18.1","17.7","18.4","17.7 to 18.4","6,697,291","1,146,351","1,118,784","1,173,918","1,118,784 to 1,173,918","17.1","16.7","17.5","16.7 to 17.5","2,632,244","503,635","490,269","517,001","490,269 to 517,001","19.1","18.6","19.6","18.6 to 19.6","$56,646","$56,412","$56,880","$56,412 to $56,880"
"2005","06","06000","California","35,121,556","4,669,056","4,608,110","4,730,003","4,608,110 to 4,730,003","13.3","13.1","13.5","13.1 to 13.5","9,498,237","1,761,755","1,722,836","1,800,674","1,722,836 to 1,800,674","18.5","18.1","19.0","18.1 to 19.0","6,809,675","1,197,835","1,163,347","1,232,323","1,163,347 to 1,232,323","17.6","17.1","18.1","17.1 to 18.1","2,636,473","519,125","502,277","535,974","502,277 to 535,974","19.7","19.1","20.3","19.1 to 20.3","$53,627","$53,309","$53,944","$53,309 to $53,944"
"2004","06","06000","California","35,468,826","4,681,645","4,463,645","4,899,644","4,463,645 to 4,899,644","13.2","12.6","13.8","12.6 to 13.8","9,667,379","1,809,423","1,686,330","1,932,515","1,686,330 to 1,932,515","18.7","17.4","20.0","17.4 to 20.0","6,906,485","1,225,762","1,119,872","1,331,652","1,119,872 to 1,331,652","17.7","16.2","19.3","16.2 to 19.3","2,657,941","540,606","480,804","600,408","480,804 to 600,408","20.3","18.1","22.6","18.1 to 22.6","$49,894","$48,617","$51,172","$48,617 to $51,172"
"2003","06","06000","California","35,219,959","4,836,106","4,639,930","5,032,283","4,639,930 to 5,032,283","13.7","13.2","14.3","13.2 to 14.3","9,554,368","1,866,535","1,757,471","1,975,599","1,757,471 to 1,975,599","19.5","18.4","20.7","18.4 to 20.7","6,844,459","1,288,493","1,198,809","1,378,177","1,198,809 to 1,378,177","18.8","17.5","20.1","17.5 to 20.1","2,599,063","520,311","461,424","579,197","461,424 to 579,197","20.0","17.8","22.3","17.8 to 22.3","$48,440","$47,147","$49,734","$47,147 to $49,734"
"2002","06","06000","California","34,866,022","4,646,661","4,459,058","4,834,265","4,459,058 to 4,834,265","13.3","12.8","13.9","12.8 to 13.9","9,369,331","1,795,674","1,688,257","1,903,092","1,688,257 to 1,903,092","19.2","18.0","20.3","18.0 to 20.3","6,704,201","1,235,108","1,144,445","1,325,771","1,144,445 to 1,325,771","18.4","17.1","19.8","17.1 to 19.8","2,533,561","501,845","445,885","557,805","445,885 to 557,805","19.8","17.6","22.0","17.6 to 22.0","$47,323","$46,067","$48,578","$46,067 to $48,578"
"2001","06","06000","California","34,262,724","4,418,040","4,236,931","4,599,149","4,236,931 to 4,599,149","12.9","12.4","13.4","12.4 to 13.4","9,260,899","1,632,189","1,511,576","1,752,801","1,511,576 to 1,752,801","17.6","16.3","18.9","16.3 to 18.9","6,643,954","1,089,969","981,086","1,198,852","981,086 to 1,198,852","16.4","14.8","18.0","14.8 to 18.0","2,479,109","480,211","431,608","528,814","431,608 to 528,814","19.4","17.4","21.3","17.4 to 21.3","$47,064","$45,895","$48,233","$45,895 to $48,233"
"2000","06","06000","California","33,846,211","4,304,909","4,133,942","4,475,877","4,133,942 to 4,475,877","12.7","12.2","13.2","12.2 to 13.2","9,229,783","1,711,407","1,610,781","1,812,034","1,610,781 to 1,812,034","18.5","17.5","19.6","17.5 to 19.6","6,634,492","1,173,218","1,085,985","1,260,451","1,085,985 to 1,260,451","17.7","16.4","19.0","16.4 to 19.0","2,484,201","482,766","433,108","532,425","433,108 to 532,425","19.4","17.4","21.4","17.4 to 21.4","$46,836","$45,541","$48,131","$45,541 to $48,131"
"2012","08","08000","Colorado","5,069,069","688,715","674,161","703,269","674,161 to 703,269","13.6","13.3","13.9","13.3 to 13.9","1,213,069","220,133","211,406","228,860","211,406 to 228,860","18.1","17.4","18.8","17.4 to 18.8","875,004","148,544","140,781","156,307","140,781 to 156,307","17.0","16.1","17.9","16.1 to 17.9","331,900","65,796","61,511","70,081","61,511 to 70,081","19.8","18.5","21.1","18.5 to 21.1","$56,880","$56,305","$57,455","$56,305 to $57,455"
"2011","08","08000","Colorado","5,002,119","669,267","654,300","684,234","654,300 to 684,234","13.4","13.1","13.7","13.1 to 13.7","1,214,671","215,325","206,577","224,073","206,577 to 224,073","17.7","17.0","18.4","17.0 to 18.4","871,893","138,632","131,086","146,178","131,086 to 146,178","15.9","15.0","16.8","15.0 to 16.8","336,397","71,015","66,713","75,317","66,713 to 75,317","21.1","19.8","22.4","19.8 to 22.4","$55,530","$54,944","$56,116","$54,944 to $56,116"
"2010","08","08000","Colorado","4,934,178","651,744","636,277","667,211","636,277 to 667,211","13.2","12.9","13.5","12.9 to 13.5","1,213,169","207,165","198,566","215,764","198,566 to 215,764","17.1","16.4","17.8","16.4 to 17.8","868,178","131,486","124,025","138,947","124,025 to 138,947","15.1","14.2","16.0","14.2 to 16.0","339,476","70,745","66,602","74,888","66,602 to 74,888","20.8","19.6","22.0","19.6 to 22.0","$54,411","$53,726","$55,096","$53,726 to $55,096"
"2009","08","08000","Colorado","4,917,085","618,676","602,047","635,306","602,047 to 635,306","12.6","12.2","12.9","12.2 to 12.9","1,210,140","201,208","191,827","210,588","191,827 to 210,588","16.6","15.9","17.4","15.9 to 17.4","846,344","123,633","115,813","131,453","115,813 to 131,453","14.6","13.7","15.5","13.7 to 15.5","358,027","72,155","66,855","77,455","66,855 to 77,455","20.2","18.7","21.6","18.7 to 21.6","$55,735","$55,065","$56,405","$55,065 to $56,405"
"2008","08","08000","Colorado","4,835,405","540,845","525,482","556,208","525,482 to 556,208","11.2","10.9","11.5","10.9 to 11.5","1,190,397","171,707","162,824","180,591","162,824 to 180,591","14.4","13.7","15.2","13.7 to 15.2","834,330","106,985","99,090","114,880","99,090 to 114,880","12.8","11.9","13.8","11.9 to 13.8","351,090","60,228","55,982","64,473","55,982 to 64,473","17.2","15.9","18.4","15.9 to 18.4","$57,184","$56,573","$57,794","$56,573 to $57,794"
"2007","08","08000","Colorado","4,756,240","548,520","533,897","563,143","533,897 to 563,143","11.5","11.2","11.8","11.2 to 11.8","1,175,042","179,666","171,281","188,051","171,281 to 188,051","15.3","14.6","16.0","14.6 to 16.0","822,628","114,762","107,832","121,692","107,832 to 121,692","14.0","13.1","14.8","13.1 to 14.8","345,363","58,735","54,091","63,378","54,091 to 63,378","17.0","15.7","18.4","15.7 to 18.4","$55,517","$54,892","$56,142","$54,892 to $56,142"
"2006","08","08000","Colorado","4,653,234","539,332","526,383","552,282","526,383 to 552,282","11.6","11.3","11.9","11.3 to 11.9","1,151,437","170,379","162,754","178,003","162,754 to 178,003","14.8","14.1","15.5","14.1 to 15.5","811,015","108,406","101,958","114,854","101,958 to 114,854","13.4","12.6","14.2","12.6 to 14.2","334,577","56,770","52,626","60,914","52,626 to 60,914","17.0","15.7","18.2","15.7 to 18.2","$52,265","$51,785","$52,746","$51,785 to $52,746"
"2005","08","08000","Colorado","4,549,948","497,763","484,825","510,702","484,825 to 510,702","10.9","10.7","11.2","10.7 to 11.2","1,163,200","163,374","156,129","170,619","156,129 to 170,619","14.0","13.4","14.7","13.4 to 14.7","821,137","101,811","95,835","107,787","95,835 to 107,787","12.4","11.7","13.1","11.7 to 13.1","335,277","56,039","51,966","60,113","51,966 to 60,113","16.7","15.5","17.9","15.5 to 17.9","$50,841","$50,312","$51,370","$50,312 to $51,370"
"2004","08","08000","Colorado","4,586,406","466,804","429,907","503,701","429,907 to 503,701","10.2","9.4","11.0","9.4 to 11.0","1,179,365","151,264","132,875","169,652","132,875 to 169,652","12.8","11.3","14.4","11.3 to 14.4","828,373","94,396","78,381","110,411","78,381 to 110,411","11.4","9.5","13.3","9.5 to 13.3","336,512","50,463","41,749","59,176","41,749 to 59,176","15.0","12.4","17.6","12.4 to 17.6","$50,105","$48,618","$51,592","$48,618 to $51,592"
"2003","08","08000","Colorado","4,521,138","451,658","421,538","481,778","421,538 to 481,778","10.0","9.3","10.7","9.3 to 10.7","1,178,251","151,196","134,414","167,978","134,414 to 167,978","12.8","11.4","14.3","11.4 to 14.3","830,652","96,512","84,107","108,917","84,107 to 108,917","11.6","10.1","13.1","10.1 to 13.1","333,816","45,715","34,733","56,697","34,733 to 56,697","13.7","10.4","17.0","10.4 to 17.0","$49,248","$47,800","$50,696","$47,800 to $50,696"
"2002","08","08000","Colorado","4,476,876","426,822","396,954","456,689","396,954 to 456,689","9.5","8.9","10.2","8.9 to 10.2","1,150,444","135,233","118,933","151,533","118,933 to 151,533","11.8","10.3","13.2","10.3 to 13.2","817,054","91,405","77,858","104,952","77,858 to 104,952","11.2","9.5","12.8","9.5 to 12.8","323,003","38,431","29,463","47,399","29,463 to 47,399","11.9","9.1","14.7","9.1 to 14.7","$48,060","$46,326","$49,795","$46,326 to $49,795"
"2001","08","08000","Colorado","4,408,629","381,718","355,917","407,520","355,917 to 407,520","8.7","8.1","9.2","8.1 to 9.2","1,134,757","126,103","108,835","143,371","108,835 to 143,371","11.1","9.6","12.6","9.6 to 12.6","800,324","80,209","65,254","95,164","65,254 to 95,164","10.0","8.2","11.9","8.2 to 11.9","318,145","38,892","31,696","46,088","31,696 to 46,088","12.2","10.0","14.5","10.0 to 14.5","$48,483","$46,980","$49,985","$46,980 to $49,985"
